All,Все
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Вы не ввели SKU продукта. Пожалуйста, <a href=""%1"">нажмите здесь</a>, чтобы добавить продукт(ы) по SKU."
"You have not entered a product SKU.","Вы не указали артикул товара."
"We can't add a product to cart by id ""%1"".","Мы не можем добавить товар в корзину по id «%1»."
"Something went wrong while reordering this product.","Что-то пошло не так во время повторного заказа этого продукта."
"We can't find this wish list.","Не удается найти этот список желаний."
"You added %1 product to your shopping cart.","Вы добавили %1 товар в корзину."
"You added %1 products to your shopping cart.","Вы добавили %1 продукт(ов) в корзину."
"%1 product requires your attention.","%1 продукт требует вашего внимания."
"%1 products require your attention.","%1 продуктов требуют вашего внимания."
"Yes, for Specified Customer Groups","Да, для Указанные Группы Клиентов"
"Yes, for Everyone","Да, для всех"
No,Нет
"The file is corrupt.","Файл поврежден."
"Please upload the file in .csv format.","Пожалуйста, загрузите файл в формате CSV."
"%1 item(s) need your attention.","%1 элемент(ы) требуют вашего внимания."
"Apply Coupon Code","Применить код купона"
"Remove Coupon Code","Удалить код купона"
"The coupon code ""%1"" is not valid.","Купон код «%1» не действительный."
"Shopping Cart Items","Товары корзины"
Qty,Кол-во
Subtotal,"Промежуточный итог"
Discount,Скидка
"Row Subtotal","Итого строк"
Action,Действие
"No ordered items","Нет заказанных товаров"
"Total %1 product(s)","Всего %1 продукт (ов)"
Subtotal:,"Промежуточный итог:"
"Please select",Выберите
"Move to Wish List","Переместить в список желаний"
"No item specified.","Нет указанных элементов."
"Are you sure you want to remove this item?","Вы действительно хотите удалить этот элемент?"
"SKU number","Номер SKU"
"Upload File","Загрузить файл"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваш csv файл должен содержать колонки ""sku"" и ""qty""."
Reset,Сбросить
"SKU: ","Артикул: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Только <span id=""%1_max_allowed"">%2</span> на складе"
Item,Элемент
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"What's this?","Что это?"
"Incl. Tax","Включая налог"
"Excl. Tax","Без налога"
"Edit item parameters","Изменить параметры позиции"
Edit,Редактировать
"Remove item","Удалить позицию"
"Products Requiring Attention","Товары, требующие внимания"
"Add to Cart","Добавить в корзину"
Sku,Артикул
File,Файл
"File extensions allowed: .csv","Разрешены файлы с расширением .csv"
"Add Row","Добавить строку"
"Remove Row","Удалить строку"
"Add Products By SKU","Добавление продуктов по SKU"
"Shopping Cart Management","Управление корзиной"
"View Shopping Cart","Посмотреть корзину"
"View and modify Shopping Cart","Просмотр и изменение корзины"
"Order by SKU Settings","Сортировать по настройкам SKU "
"Enable Order by SKU on My Account in Storefront","Включить заказ по SKU в моем аккаунте"
"Customer Groups","Группы покупателей"
"Apply Coupon","Применить купон"
"Order by SKU Description","Сортировать по описанию SKU "
"Display a Link to Loading a Spreadsheet","Показать ссылку для загрузки таблицы"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Определяет будет ли отображаться в виджете ссылка на страницу Мой аккаунт &gt; Сортировка страниц по SKU"
"Link Text","Текст ссылки"
"The text of the link to the My Account &gt; Order by SKU page","Текст ссылки на страницу Мой аккаунт &gt; Сортировка по SKU"
"Load a list of SKUs","Загрузить список SKU"
"Order by SKU Template","Сортировать по SKU шаблонам"
"SKU not found in catalog.","Артикул не найден в каталоге."
"This file needs to be in .csv format.","Этот файл должен быть в формате .csv."
"This customer couldn't be found. Verify the customer and try again.","Клиент не может быть найден. Проверьте клиента и повторите попытку."
"This store couldn't be found. Verify the store and try again.","Этот магазин может быть найден. Проверьте магазин и повторите попытку."
"An error occurred. For details, see the error log.","Произошла ошибка. Детали смотрите в журнале ошибок."
"Orders can only be completed in an active store. Verify the store and try again.","Заказы могут быть завершены только в активном магазине. Проверьте магазин и повторите попытку."
"The ordered item needs to be loaded. Load the item and try again.","Заказанный товар должен быть загружен. Загрузите товар и повторите попытку."
"The quote item ID needs to be received. Set the ID and try again.","Идентификатор товара корзины должен быть получен. Установите идентификатор и повторите попытку."
"The quote item needs to be loaded. Load the item and try again.","Товар корзины должен быть загружен. Загрузите товар и повторите попытку."
"The wish list item ID needs to be received. Set the ID and try again.","Идентификатор товар списка желания должен быть получен. Установить идентификатор и повторите попытку."
"The wish list item needs to be loaded. Load the item and try again.","Товар из списка пожеланий должен быть загружен. Загрузите товар и повторите попытку."
"The file is corrupt and can't be used.","Файл испорчен и не может быть использован."
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Entity type model '%1' is not found","Введеный тип модели '%1' не найден"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модель типа сущности должна быть экземпляром \ Magento \ CatalogImportExport \ Model \ Export \ Product \ Type \ AbstractType"
"There are no product types available for export","Нет типов продуктов, доступных для экспорта"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 класс не принадлежит \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Правила продажи"
"Index sales rule","Индекс правила продаж"
"Related Search Terms","Связанные поисковые запросы"
"Add New Search Term","Добавить новый поисковый запрос"
button_label,ярлык_кнопки
"Missing search engine parameter.","Отсутствует параметр поисковой системы."
"Successful! Test again?","Успешно! Проверить еще раз?"
"Connection failed! Test again?","Ошибка соединения! Проверить еще раз?"
"Enable Search Recommendations","Включить поиск рекомендаций"
"When you enable this option your site may slow down.","Включение этого параметра может замедлить ваш сайт."
"Search Recommendations Count","Количество рекомендаций поиска"
"Show Results Count for Each Recommendation","Показать количество результатов для каждой рекомендации"
"Enable Search Suggestions","Включить поисковые подсказки"
"Search Suggestions Count","Количество подсказок поиска"
"Show Results Count for Each Suggestion","Показать количество результатов для каждой подсказки"
"Related search terms","Связанные поисковые запросы"
"Did you mean","Возможно вы имели в виду"
"Search Query","Поисковый запрос"
Store,Магазин
Results,Результат
Uses,Использование
"Redirect URL","Переадресация URL"
"Suggested Term","Предлагаемый срок"
Yes,Да
Synonym,Синоним
"RPC call failed, connection timed out after %time_out.","Сбой вызова RPC, подключения истекло после %time_out."
"Message has been rejected: %1","Сообщение было отклонено: %1"
"Error while checking if topic is synchronous","Ошибка при проверке, если тема синхронизирована"
"Subscription status","Статус подписки"
"Sorry, there has been an error processing your request. Please try again later.","Извините, произошла ошибка при обработке вашего запроса. Пожалуйста, повторите попытку позже."
"Time value has an unsupported format","Значение времени имеет неподдерживаемый формат"
"Cron settings can't be saved","Настройки Cron не могут быть сохранены"
"There was an error save new configuration value.","Ошибка сохранения нового значения конфигурации."
"Please select a vertical.","Пожалуйста выберите вертикаль."
"--Please Select--","-- Выберите --"
"Command was not found.","Команда не найдена."
"Input data must be string or convertible into string.","Введенные данные должны быть изменены в строке или в регистре."
"Input data must be non-empty string.","Входные данные должны иметь непустую строку."
"Not valid cipher method.","Неверный пароль."
"Encryption key can't be empty.","Ключ шифрования не может быть пустым."
"Source ""%1"" is not exist","Источник ""%1"" не существует"
"These arguments can't be empty ""%1""","Эти аргументы не могут быть пустыми ""%1"""
"Cannot find predefined integration user!","Предопределенная интеграция не может найти пользователя!"
"File is not ready yet.","Файл ещё не готов."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Ваш базовый URL-адрес обновляется. Как только это изменение будет обработано, будет доступна расширенная отчетность. Повторите попытку позже."
"Failed to synchronize data to the Magento Business Intelligence service. ","Не удалось синхронизировать данные с сервисом Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Повторите попытку синхронизации</a>"
TestMessage,"Тестовое сообщение"
"Apps and Games","Приложения и игры"
"Athletic/Sporting Goods","Спортивные товары"
"Art and Design","Искусство и дизайн"
"Advanced Reporting","Расширенная Отчетность"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Получите новые идеи и проверьте свою эффективность бизнеса, используя динамические отчеты о продуктах, заказах и клиентах."
"Go to Advanced Reporting","Перейти к расширенной отчетности"
Analytics,Аналитика
Configuration,Настройки
"Business Intelligence",Бизнес-аналитика
"BI Essentials","Би Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Эта служба предоставляет динамический набор отчетов с богатой информацией о вашем бизнесе.
				Доступ к отчетам можно безопасно получить на персонализированной панели мониторинга за пределами панели администратора,
				нажав ссылку «Перейти к расширенной отчетности». </br> Для получения дополнительной информации см. <a href=""https://magento.com/legal/terms/cloud-terms"">
                Наши условия</a>."
"Advanced Reporting Service","Служба Расширенных Отчетов"
"Time of day to send data","Время отправления данных"
Industry,Промышленность
"In order to personalize your Advanced Reporting experience, please select your industry.","Чтобы персонализировать ваш опыт, передовые отчетности, пожалуйста выберите вашей отрасли."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>получите больше понимания от Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence предоставляет вам простой и ясный путь, чтобы стать больше данных.</br> Подробнее о <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials и BI Pro</a> яруса."
"Auto Parts","Авто запчасти"
"Baby/Children’s Apparel, Gear and Toys","Детская одежда, снаряжение и игрушки"
"Beauty and Cosmetics","Красота и Косметика"
"Books, Music and Magazines","Книга, Музыка и Журналы"
"Crafts and Stationery","Ремесла и канцелярские принадлежности"
"Consumer Electronics","Бытовая электроника"
"Deal Site","Сделка сайт"
"Fashion Apparel and Accessories","Мода Одежда и аксессуары"
"Food, Beverage and Grocery","Еда, напитки и продуктовых"
"Home Goods and Furniture","Товары для дома и мебель"
"Home Improvement","Главная улучшение"
"Jewelry and Watches","Ювелирные изделия и Часы"
"Mass Merchant","Массовый Торговец"
"Office Supplies","Офисные принадлежности"
"Outdoor and Camping Gear","Напольное и Кемпинговое Оборудование"
"Pet Goods","Tовары для Животных"
"Pharma and Medical Devices","Фармацевтических и медицинских приборов"
"Technology B2B","Технология B2B"
Other,Другие
"The time value is using an unsupported format. Enter a supported format and try again.","Значение времени использует неподдерживаемый формат. Введите поддерживаемый формат и повторите попытку."
"Please select an industry.","Пожалуйста, выберите отрасль."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Данные неверны. Введите данные как строку или данные, которые могут быть преобразованы в строку и повторите попытку."
"The data is invalid. Enter the data as a string and try again.","Данные неверны. Введите данные как строку и попробуйте еще раз."
"The data is invalid. Use a valid cipher method and try again.","Недопустимые данные. Используйте правильный метод шифрования и повторите попытку."
"Enter the encryption key and try again.","Введите ключ шифрования и повторите попытку."
"The ""%1"" source doesn't exist.","Источник «%1» не существует."
"Retry Synchronization","Повторите попытку синхронизации"
Done,Выполнено
Retry,Повторить
"'Action Details - #' .","«Подробности действия - #»."
"%1 item(s) have been scheduled for update.""","Количество элементов запланированных для обновления: %1."""
"Bulk Actions Log","Журнал Массовых Операций"
"Bulk uuid %bulkUuid not exist","Не существующий массив uuid %bulkUuid"
"Topic %1","Тема %1"
"Something went wrong while processing the request.","Во время обработки запроса что-то пошло не так."
"Error processing %key element of input data","Ошибка при обработке %ключевого элемента входных данных"
"Sorry, something went wrong during product prices update. Please see log for details.","Извините, что-то пошло не так во время обновления цены продукта. Смотрите подробности в журнале."
"%1 item(s) are currently being updated.","%1 элемент(ов) в настоящее время обновляется."
"Task ""%1"": ","Задача «%1»: "
"%1 item(s) have been scheduled for update.","%1 элемент(ов) было запланировано обновление."
"%1 item(s) have been successfully updated.","%1 элемент(ов) был успешно обновлен."
"%1 item(s) failed to update","%1 элемент(ов) не удалось обновить"
Details,Подробнее
"View Details","Смотреть подробности"
Dismiss,Отменить
"Pending, in queue...","В ожидании, на хвосте..."
"%1 items selected for mass update","%1 элементов, выбранных для массового обновления"
", %1 successfully updated",", %1 успешно обновлено"
", %1 failed to update",", %1 не успешно обновлено"
"Something went wrong.","Что-то пошло не так."
"Action Log","Журнал Транзакций"
Report,Отчёт
"Bulk Actions","Массовые Операции"
"Action Logs","Журнал Транзакций"
"Days Saved in Log","Дни, сохранённые в журнале"
"Description of Operation","Описание операции"
Summary,Резюме
"Start Time","Время начала"
"Items to Retry","Элементы для повтора"
"To retry, select the items and click “Retry”.","Чтобы повторить, выберите элементы и нажмите кнопку «Повторить»."
"Items That Can’t Be Updated.","Элементы, которые не могут быть обновлены."
Status,Статус
"Meta Information","Дополнительная информация"
Error,Ошибка
"Dismiss All Completed Tasks","Скрыть все завершенные задачи"
"Action Details - #","Детали действия - #"
"Number of Records Affected","Количество зарегистрированных записей"
"We can't find the role for the user you wanted.","Мы не можем определить права запрошенного пользователя."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Что-то пошло не так во время компиляции списка разрешенных ресурсов. Вы можете узнать больше информации в журнале исключений."
"The role wasn't found for the user. Verify the role and try again.","Для пользователя не была найдена роль. Проверьте роль и повторите попытку."
"You created the order.","Вы создали заказ."
"Order saving error: %1","Порядок сохранения ошибки: %1"
"Please choose a payment method.","Пожалуйста, выберите способ оплаты."
"We can't process your order right now. Please try again later.","Мы не можем обработать вам заказ сейчас. Пожалуйста попробуйте позже."
"An error occurred on the server. Please try to place the order again.","Произошла ошибка на сервере. Пожалуйста, попробуйте повторить размещение заказа."
"Credit Card: xxxx-%1","Кредитная карта: xxxx-%1"
"amount %1","сумма %1"
failed.,ошибка.
successful.,успешно.
"Authorize.Net Transaction ID %1.","Authorize.Net транзакции ID %1."
authorize,Авторизация
"authorize and capture","Авторизация и запись"
capture,запись
refund,возврат
void,"значение void"
"Gateway error: %1","Ошибка шлюза: %1"
"Something went wrong in the payment gateway.","Что-то пошло не так в платежном шлюзе."
"Invalid amount for capture.","Недопустимый размер записи."
"Payment capturing error.","Ошибка записи оплаты."
"Invalid transaction ID.","Недопустимый ID транзакции."
"Payment voiding error.","Ошибка значения void оплаты."
"Invalid amount for refund.","Недопустимый размер для возврата."
"Payment refunding error.","Ошибка возврата оплаты."
"The transaction was declined because the response hash validation failed.","Транзакция была отклонена, поскольку не удалось проверить хэш."
"This payment didn't work out because we can't find this order.","Этот платеж не прошел, так как мы не можем найти этот заказ."
"There was a payment authorization error.","Была ошибка авторизации платежа."
"Please enter a transaction ID to authorize this payment.","Пожалуйста, введите ID транзакции для авторизации этого платежа."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Что-то пошло не так: платежная сумма не соответствует сумме заказа. Пожалуйста откорректируйте её и попробуйте позже."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 транзакция одобрена. Сумма %2. Статус транзакции — «%3»"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 транзакция была пропущенна/отклонена. Статус транзакции — «%2». Сумма %3."
"Authorize Only","Авторизировать только"
"Authorize and Capture","Авторизировать и записать"
"Unable to get transaction details. Try again later.","Не удалось получить сведения о транзакциях. Повторите попытку позже."
"Electronic payments save the trees.","Электронные платежи сохраняют деревья."
"Credit Card Type","Тип кредитной карты"
"Please Select",Выберите
"Credit Card Number","Номер кредитной карты"
"Expiration Date","Дата окончания срока действия"
"Card Verification Number","Проверочный код карты"
"Fraud Detection ","Обнаружение мошенничества "
"FDS Filter Action","Действие фильтра FDS"
"AVS Response","AVS ответ"
"Card Code Response","Ответ Карт Кода"
"CAVV Response","CAVV ответ"
"Fraud Filters"," Фильтры мошенничества"
"Place Order","Оформить заказ"
"Sorry, but something went wrong. Please contact the seller.","Извините, но что-то пошло не так. Свяжитесь с продавцом."
"Authorize.net Direct Post","Прямое Сообщение Authorize.NET"
Enabled,Включено
"Payment Action","Тип платежа"
Title,Заголовок
"API Login ID","ID входа API"
"Transaction Key","Ключ транзакции"
"New Order Status","Статус нового заказа"
"Test Mode","Тестовый режим"
"Gateway URL","шлюз URL"
"Transaction Details URL","Детали транзакции URL"
"Accepted Currency","Принимаемая валюта"
Debug,Отладка
"Email Customer","E-mail клиента"
"Merchant's Email","Email продавца"
"Credit Card Types","Типы кредитных карт"
"Credit Card Verification","Верификация кредитной карты"
"Payment from Applicable Countries","Оплата из допустимых стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Minimum Order Total","Сумма минимального заказа"
"Maximum Order Total","Сумма максимального заказа"
"Sort Order","Порядок Сортировки"
"Cannot place order.","Не удается разместить заказ."
"'Gateway error: ' .","'Ошибка шлюза: ' ."
"Unable to place order. Please try again later.","Не удалось разместить заказ. Пожалуйста, повторите попытку позже."
"A server error stopped your order from being placed. Please try to place your order again.","Ошибка сервера остановила размещение вашего заказа. Пожалуйста, попробуйте снова разместить ваш заказ."
"The transaction details are unavailable. Please try again later.","Подробности транзакции недоступны. Пожалуйста, повторите попытку позже."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net прямая запись (устарело)"
"Signature Key","Ключ подписи"
"There was an error while trying to process the request.","Во время обработки запроса произошла ошибка."
"This transaction cannot be refunded with its current status.","Эта транзакция не может быть возвращена с ее текущим состоянием."
"The authenticity of the gateway response could not be verified.","Аутентификация ответа шлюза не может быть проверена."
"Basic Authorize.Net Settings","Базовые настройки Authorize.Net"
Environment,"Окружающая среда"
"Public Client Key","Открытый ключ клиента"
"Merchant MD5 (deprecated)","Торговый MD5 (устаревший)"
